Published date,Positive_Count,Negative_Count,Neutral_Count,Total,Positive_Percentage,Negative_Percentage,Neutral_Percentage
2018-02-25,2,1,1,4,50,25,25
2018-02-26,2,1,5,8,25,12.5,62.5
2018-02-27,1,4,4,9,11.11111111,44.44444444,44.44444444
2018-02-28,5,1,3,9,55.55555556,11.11111111,33.33333333
2018-03-01,1,2,5,8,12.5,25,62.5
2018-03-02,3,3,4,10,30,30,40
2018-03-03,1,3,3,7,14.28571429,42.85714286,42.85714286
2018-03-04,1,1,4,6,16.66666667,16.66666667,66.66666667
2018-03-05,2,3,3,8,25,37.5,37.5
2018-03-06,2,6,2,10,20,60,20
2018-03-07,3,4,3,10,30,40,30
2018-03-08,2,3,5,10,20,30,50
2018-03-09,2,3,4,9,22.22222222,33.33333333,44.44444444
2018-03-10,0,1,1,2,0,50,50
2018-03-11,2,3,4,9,22.22222222,33.33333333,44.44444444
2018-03-12,0,5,5,10,0,50,50
2018-03-13,5,3,1,9,55.55555556,33.33333333,11.11111111
2018-03-14,1,2,6,9,11.11111111,22.22222222,66.66666667
2018-03-15,2,5,2,9,22.22222222,55.55555556,22.22222222
2018-03-16,5,1,4,10,50,10,40
2018-03-17,2,2,5,9,22.22222222,22.22222222,55.55555556
2018-03-18,2,2,4,8,25,25,50
2018-03-19,2,3,3,8,25,37.5,37.5
2018-03-20,3,4,3,10,30,40,30
2018-03-21,1,3,6,10,10,30,60
2018-03-22,1,1,5,7,14.28571429,14.28571429,71.42857143
2018-03-23,2,1,7,10,20,10,70
2018-03-24,2,0,0,2,100,0,0
2018-03-25,1,1,4,6,16.66666667,16.66666667,66.66666667
2018-03-26,4,1,3,8,50,12.5,37.5
2018-03-27,3,3,4,10,30,30,40
2018-03-28,1,2,6,9,11.11111111,22.22222222,66.66666667
2018-03-29,3,4,2,9,33.33333333,44.44444444,22.22222222
2018-03-30,2,2,1,5,40,40,20
2018-03-31,2,0,1,3,66.66666667,0,33.33333333
2018-04-01,2,1,2,5,40,20,40
2018-04-02,4,1,5,10,40,10,50
2018-04-03,1,3,6,10,10,30,60
2018-04-04,2,1,6,9,22.22222222,11.11111111,66.66666667
2018-04-05,1,2,6,9,11.11111111,22.22222222,66.66666667
2018-04-06,4,4,2,10,40,40,20
2018-04-07,3,0,2,5,60,0,40
2018-04-08,3,0,3,6,50,0,50
2018-04-09,2,1,5,8,25,12.5,62.5
2018-04-10,1,1,7,9,11.11111111,11.11111111,77.77777778
2018-04-11,1,3,5,9,11.11111111,33.33333333,55.55555556
2018-04-12,4,3,2,9,44.44444444,33.33333333,22.22222222
2018-04-13,4,2,3,9,44.44444444,22.22222222,33.33333333
2018-04-14,3,1,1,5,60,20,20
2018-04-15,1,1,2,4,25,25,50
2018-04-16,2,2,5,9,22.22222222,22.22222222,55.55555556
2018-04-17,3,0,5,8,37.5,0,62.5
2018-04-18,4,2,3,9,44.44444444,22.22222222,33.33333333
2018-04-19,3,5,2,10,30,50,20
2018-04-20,3,3,4,10,30,30,40
2018-04-21,2,1,4,7,28.57142857,14.28571429,57.14285714
2018-04-22,1,0,4,5,20,0,80
2018-04-23,1,1,7,9,11.11111111,11.11111111,77.77777778
2018-04-24,1,7,2,10,10,70,20
2018-04-25,3,1,4,8,37.5,12.5,50
2018-04-26,2,2,6,10,20,20,60
2018-04-27,5,0,4,9,55.55555556,0,44.44444444
2018-04-28,2,0,4,6,33.33333333,0,66.66666667
2018-04-29,3,1,4,8,37.5,12.5,50
2018-04-30,2,2,5,9,22.22222222,22.22222222,55.55555556
2018-05-01,2,1,5,8,25,12.5,62.5
2018-05-02,1,0,7,8,12.5,0,87.5
2018-05-03,0,3,7,10,0,30,70
2018-05-04,5,2,2,9,55.55555556,22.22222222,22.22222222
2018-05-05,5,1,4,10,50,10,40
2018-05-06,0,1,1,2,0,50,50
2018-05-07,2,3,5,10,20,30,50
2018-05-08,3,0,6,9,33.33333333,0,66.66666667
2018-05-09,2,2,3,7,28.57142857,28.57142857,42.85714286
2018-05-10,1,1,7,9,11.11111111,11.11111111,77.77777778
2018-05-11,1,3,5,9,11.11111111,33.33333333,55.55555556
2018-05-12,2,2,4,8,25,25,50
2018-05-13,2,2,3,7,28.57142857,28.57142857,42.85714286
2018-05-14,1,3,6,10,10,30,60
2018-05-15,1,3,5,9,11.11111111,33.33333333,55.55555556
2018-05-16,1,5,4,10,10,50,40
2018-05-17,3,1,6,10,30,10,60
2018-05-18,2,4,4,10,20,40,40
2018-05-19,1,0,3,4,25,0,75
2018-05-20,4,1,5,10,40,10,50
2018-05-21,5,1,3,9,55.55555556,11.11111111,33.33333333
